,cctvid,vdid,dist,cctv_url
93,nfbCCTV-T76-W-28.84-M,nfbVD-T76-W-26.500-N-Loop,1.2434173929866923,http://210.241.63.120/abs2mjpg/bmjpg?camera=141
94,nfbCCTV-N6-E-2.03-M,nfbVD-N6-E-2.659-M-RS,0.6169867909428933,http://210.241.63.120/abs2mjpg/bmjpg?camera=373
95,nfbCCTV-N3-N-295.09-M,nfbVD-N3-N-294.270-M-Loop,0.4146822238862449,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=195
96,nfbCCTV-T62-W-1.08-M,nfbVD-T62-W-0.90-M-OH,0.04561360501157269,http://117.56.12.145/T62-1K%2b088
97,nfbCCTV-T84-E-27.02-M,nfbVD-T84-E-26.500-N-RS,0.25406755476274007,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=240
98,nfbCCTV-T78-E-23.1-M,nfbVD-T78-E-23.803-M-RS,0.7605442933124046,http://210.241.63.120/abs2mjpg/bmjpg?camera=42
99,nfbCCTV-N3-S-405.836-M,nfbVD-N3-S-404.501-M-Loop,1.035079322551464,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=341
100,nfbCCTV-N1-S-214.14-M,nfbVD-N1-S-214.390-M-LOOP,0.14350769600964605,http://210.241.63.120/abs2mjpg/bmjpg?camera=233
101,nfbCCTV-N3A-E-2.6-M,nfbVD-N3A-E-2.680-M-LOOP,0.04313149311911317,"http://210.242.179.85/vStream.php?pm=211,A58,32"
102,nfbCCTV-T82-E-32.909-M,nfbVD-T82-E-33.169-M-RS,0.17389805892794116,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=23
103,nfbCCTV-T76-E-31.24-M,nfbVD-T76-E-27.000-N-RS,2.7243603190416232,http://210.241.63.120/abs2mjpg/bmjpg?camera=155
104,nfbCCTV-N1-N-368.51-M,nfbVD-N1-N-368.306-M-Loop,0.1038133145717595,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=130
105,nfbCCTV-N3-N-26.7-M,nfbVD-N3-N-26.700-N-LOOP,0.022885510317936557,"http://210.242.179.85/vStream.php?pm=211,A58,6"
106,nfbCCTV-T78-E-36.2-M,nfbVD-T78-E-36.005-M-RS,0.21970568363372928,http://210.241.63.120/abs2mjpg/bmjpg?camera=47
